id,group_number,res_type,res_id,res_number,res_data,rate,stock,money_type,money_value,number_item_can_buy
1,1,2,30,3,,3,-1,1,100,1
,,2,30,2,,1,-1,0,100000,1
,,2,30,4,,1,-1,0,200000,1
2,1,2,10,65000,,1,-1,1,100,1
,,2,10,33000,,1,-1,1,50,1
3,2,2,51,4,,2,-1,1,600,1
,,2,51,1,,1,1,1,125,1
,,2,51,1,,2,-1,1,150,1
4,4,3,1015,1,,1,1,1,200,1
,,3,2015,1,,1,1,1,200,1
,,3,3015,1,,1,1,1,200,1
,,3,4015,1,,1,1,1,200,1
,,3,1014,1,,3,-1,1,100,1
,,3,2014,1,,3,-1,1,100,1
,,3,3014,1,,3,-1,1,100,1
,,3,4014,1,,3,-1,1,100,1
,,3,1013,1,,6,-1,0,250000,1
,,3,2013,1,,6,-1,0,250000,1
,,3,3013,1,,6,-1,0,250000,1
,,3,4013,1,,6,-1,0,250000,1
5,2,2,60,1,,1,1,1,500,1
,,2,31,1,,1,1,1,400,1
,,2,61,50,,1,-1,1,400,1
6,1,2,11,200,,1,-1,1,150,1
,,2,11,100,,1,-1,1,70,1
7,1,2,91,1,,2,-1,1,200,1
,,2,90,1,,1,-1,0,100000,1
,,2,90,2,,1,-1,0,300000,1
