id_team_summoner,summoner_id,summoner_skill_1,summoner_skill_2,summoner_skill_3,summoner_skill_4,is_dummy
41,1,4,4,4,4,FALSE
42,2,4,4,4,4,FALSE
43,3,4,4,4,4,FALSE
44,4,4,4,4,4,FALSE
45,5,4,4,4,4,FALSE
51,1,5,5,5,5,FALSE
52,2,5,5,5,5,FALSE
53,3,5,5,5,5,FALSE
54,4,5,5,5,5,FALSE
55,5,5,5,5,5,FALSE
61,1,6,6,6,6,FALSE
62,2,6,6,6,6,FALSE
63,3,6,6,6,6,FALSE
64,4,6,6,6,6,FALSE
65,5,6,6,6,6,FALSE
71,1,7,7,7,7,FALSE
72,2,7,7,7,7,FALSE
73,3,7,7,7,7,FALSE
74,4,7,7,7,7,FALSE
75,5,7,7,7,7,FALSE
30,0,3,3,3,3,FALSE
121,1,12,12,12,12,FALSE
122,2,12,12,12,12,FALSE
123,3,12,12,12,12,FALSE
124,4,12,12,12,12,FALSE
125,5,12,12,12,12,FALSE
21,0,3,3,3,3,FALSE
1,1,4,4,4,4,FALSE
2,2,4,4,4,4,FALSE
3,3,4,4,4,4,FALSE
4,4,4,4,4,4,FALSE
5,5,4,4,4,4,FALSE
6,1,5,5,5,5,FALSE
7,2,5,5,5,5,FALSE
8,3,5,5,5,5,FALSE
9,4,5,5,5,5,FALSE
10,5,5,5,5,5,FALSE
11,1,6,6,6,6,FALSE
12,2,6,6,6,6,FALSE
13,3,6,6,6,6,FALSE
14,4,6,6,6,6,FALSE
15,5,6,6,6,6,FALSE
16,1,7,7,7,7,FALSE
17,2,7,7,7,7,FALSE
18,3,7,7,7,7,FALSE
19,4,7,7,7,7,FALSE
20,5,7,7,7,7,FALSE
50,0,3,3,3,3,TRUE
76,1,8,8,8,8,FALSE
77,2,8,8,8,8,FALSE
78,3,8,8,8,8,FALSE
79,4,8,8,8,8,FALSE
80,5,8,8,8,8,FALSE
81,1,9,9,9,9,FALSE
82,2,9,9,9,9,FALSE
83,3,9,9,9,9,FALSE
84,4,9,9,9,9,FALSE
85,5,9,9,9,9,FALSE
86,1,10,10,10,10,FALSE
87,2,10,10,10,10,FALSE
88,3,10,10,10,10,FALSE
89,4,10,10,10,10,FALSE
90,5,10,10,10,10,FALSE
91,1,11,11,11,11,FALSE
92,2,11,11,11,11,FALSE
93,3,11,11,11,11,FALSE
94,4,11,11,11,11,FALSE
95,5,11,11,11,11,FALSE
